Date,Open,High,Low,Close,Volume,Adj Close
2002-08-08,49.10,51.00,48.98,51.00,3298600,13.20
2002-08-07,49.00,49.04,47.84,48.87,4121600,12.64
2002-08-06,46.85,49.57,46.85,48.49,3820400,12.45
2002-08-05,48.66,49.49,46.50,46.50,4774100,11.94
2002-08-02,49.21,49.50,47.67,48.66,5628800,12.50
2002-08-01,51.10,51.30,49.13,49.21,5406900,12.64
2002-07-31,50.12,51.75,49.55,51.75,4186700,13.29
2002-07-30,50.45,50.67,48.85,50.11,5725400,12.87
2002-07-29,48.14,50.21,47.93,50.20,4496800,12.89
2002-07-26,46.32,47.49,46.04,47.49,4306800,12.20
2002-07-25,47.45,47.70,45.29,46.07,5759200,11.83
2002-07-24,45.85,48.04,44.75,47.78,8130700,12.27
2002-07-23,46.25,47.37,45.27,45.74,7263900,11.75
2002-07-22,48.50,49.24,45.75,46.40,6789000,11.92
2002-07-19,50.70,50.70,48.21,49.00,5736700,12.58
2002-07-18,51.85,52.29,50.66,50.82,5156600,13.05
2002-07-17,51.80,52.82,51.43,51.85,5147400,13.32
2002-07-16,51.35,52.11,50.46,51.25,6831500,13.16
2002-07-15,50.00,52.60,49.65,51.85,6613700,13.32
2002-07-12,53.46,53.75,52.63,53.06,6933600,13.63
2002-07-11,55.50,55.51,53.40,53.40,8242500,13.71
2002-07-10,58.70,58.70,55.70,55.92,5559300,14.36
2002-07-09,58.95,59.09,57.95,58.16,3413800,14.94
2002-07-08,58.50,59.20,57.72,59.17,5360200,15.20
2002-07-05,57.67,58.50,57.37,58.50,2519900,15.02
2002-07-03,57.10,57.50,56.79,57.42,7560600,14.75
2002-07-02,58.92,59.20,57.46,57.54,6951400,14.78
2002-07-01,58.85,59.21,58.35,59.00,5488200,15.15
2002-06-28,57.33,59.36,57.33,58.88,5474300,15.12
2002-06-27,57.74,57.93,56.76,57.88,3898600,14.86
2002-06-26,56.34,57.38,55.95,57.38,5294300,14.74
2002-06-25,57.00,57.62,56.35,56.35,2653700,14.47
2002-06-24,56.80,56.96,56.15,56.50,4127400,14.51
2002-06-21,56.51,57.50,56.22,56.55,5048200,14.52
2002-06-20,57.25,57.60,56.81,57.02,3172400,14.64
2002-06-19,57.44,57.68,56.77,56.86,3678700,14.60
2002-06-18,57.14,57.65,57.01,57.41,2833200,14.74
2002-06-17,55.83,57.54,55.83,57.39,2977200,14.74
2002-06-14,55.00,56.02,54.53,55.58,4181900,14.27
2002-06-13,56.00,56.68,55.69,55.75,3303800,14.32
2002-06-12,55.95,56.20,55.07,55.69,4523300,14.30
2002-06-11,56.50,56.58,55.45,55.53,3725400,14.26
2002-06-10,56.50,56.73,55.65,55.84,3623100,14.34
2002-06-07,55.50,56.72,55.50,56.59,4174900,14.53
2002-06-06,56.60,56.87,55.36,55.93,4161200,14.36
2002-06-05,55.80,56.19,55.34,56.14,4095400,14.42
2002-06-04,56.47,56.83,55.52,55.97,4904700,14.37
2002-06-03,57.56,57.73,56.47,56.47,4161200,14.50
2002-05-31,57.75,58.75,57.54,57.55,4282900,14.78
2002-05-30,58.20,58.29,56.76,57.00,5557700,14.64
2002-05-29,58.94,58.94,58.25,58.50,4125000,15.02
2002-05-28,59.47,59.47,58.51,58.93,2193000,15.13
2002-05-24,60.22,60.50,59.26,59.27,3362300,15.22
2002-05-23,60.78,60.78,59.91,60.47,3298100,15.53
2002-05-22,60.13,60.60,59.82,60.52,3432100,15.54
2002-05-21,59.90,60.66,59.75,59.88,2568700,15.38
2002-05-20,60.00,60.26,59.72,60.14,1845400,15.44
2002-05-17,60.76,60.78,60.08,60.49,2289600,15.53
2002-05-16,60.50,61.13,60.49,60.94,2708000,15.65
2002-05-15,60.73,60.74,60.00,60.25,4128200,15.47
2002-05-14,61.30,61.34,60.71,60.98,3993300,15.66
2002-05-13,59.95,61.00,59.67,60.96,3681600,15.65
2002-05-10,60.48,60.75,59.86,60.02,2604600,15.41
2002-05-09,60.50,61.00,60.01,60.48,2511500,15.53
2002-05-08,60.02,60.63,59.60,60.63,3134600,15.57
2002-05-07,59.70,59.89,59.35,59.52,2059500,15.29
2002-05-06,60.66,60.67,59.60,59.60,3060900,15.31
2002-05-03,60.96,61.33,60.75,60.97,3725700,15.66
2002-05-02,60.18,60.76,59.92,60.72,3464400,15.59
2002-05-01,59.61,60.39,59.36,60.18,2061800,15.45
2002-04-30,59.94,60.42,59.81,59.81,3265500,15.36
2002-04-29,59.83,60.09,59.30,59.94,2489500,15.39
2002-04-26,60.56,60.74,59.56,59.83,4731100,15.36
2002-04-25,60.01,61.00,59.65,60.67,3105500,15.49
2002-04-24,60.40,60.79,60.07,60.07,3389900,15.33
2002-04-23,60.05,61.20,59.95,60.97,3524200,15.56
2002-04-22,61.26,61.40,60.46,60.67,2397100,15.49
2002-04-19,60.67,61.46,60.20,61.25,3241600,15.64
2002-04-18,60.65,60.85,59.66,60.66,2531400,15.49
2002-04-17,60.55,60.66,59.95,60.39,2878800,15.42
2002-04-16,59.75,60.12,59.58,60.05,5203800,15.33
2002-04-15,58.68,59.50,58.68,59.50,4389700,15.19
2002-04-12,59.45,59.75,57.90,58.10,4692200,14.83
2002-04-11,60.20,60.58,59.55,59.70,3018900,15.24
2002-04-10,60.05,60.61,59.76,60.35,3622100,15.41
2002-04-09,61.00,61.01,59.79,60.05,7680700,15.33
2002-04-08,61.50,62.01,61.31,61.86,3449200,15.79
2002-04-05,61.60,61.85,60.60,60.64,3771900,15.48
2002-04-04,62.90,62.90,61.30,61.85,4217100,15.79
2002-04-03,63.53,63.53,62.61,62.90,3755900,16.06
2002-04-02,63.65,64.10,63.53,63.68,4137300,16.26
2002-04-01,62.94,63.73,62.71,63.73,3698700,16.27
2002-03-28,62.80,62.88,62.08,62.80,3984100,16.03
2002-03-27,61.80,62.69,61.50,62.69,3573000,16.00
2002-03-26,61.50,61.65,61.05,61.38,4080400,15.67
2002-03-25,61.73,61.80,61.10,61.10,3656700,15.60
